Lvup_char,Lvup_ingrd_C1,Lvup_ingrd_Itm1,Lvup_ingrd_Itm1_count,Lvup_ingrd_Itm2,Lvup_ingrd_Itm2_count,Lvup_info
11020101,11010101,7105,500,7101,200,하나 캐릭터 1등급 2레벨 = 경험치 500 필요
11030101,11020101,7105,800,7101,300,하나 캐릭터 1등급 3레벨 = 경험치 800 필요
11040101,11030101,7105,1200,7101,400,하나 캐릭터 1등급 4레벨 = 경험치 1200 필요
11050101,11040101,7105,1800,7101,500,하나 캐릭터 1등급 5레벨 = 경험치 1800 필요
11060101,11050101,7105,2600,7101,600,하나 캐릭터 1등급 6레벨 = 경험치 2600 필요
11070101,11060101,7105,3600,7101,700,하나 캐릭터 1등급 7레벨 = 경험치 3600 필요
11080101,11070101,7105,4800,7101,800,하나 캐릭터 1등급 8레벨 = 경험치 4800 필요
11090101,11080101,7105,6200,7101,900,하나 캐릭터 1등급 9레벨 = 경험치 6200 필요
11100101,11090101,7105,6500,7101,1000,하나 캐릭터 1등급 10레벨 = 경험치 6500 필요
12020101,12010101,7105,500,7101,200,하나 캐릭터 2등급 2레벨 = 경험치 500 필요
12030101,12020101,7105,800,7101,300,하나 캐릭터 2등급 3레벨 = 경험치 800 필요
12040101,12030101,7105,1200,7101,400,하나 캐릭터 2등급 4레벨 = 경험치 1200 필요
12050101,12040101,7105,1800,7101,500,하나 캐릭터 2등급 5레벨 = 경험치 1800 필요
12060101,12050101,7105,2600,7101,600,하나 캐릭터 2등급 6레벨 = 경험치 2600 필요
12070101,12060101,7105,3600,7101,700,하나 캐릭터 2등급 7레벨 = 경험치 3600 필요
12080101,12070101,7105,4800,7101,800,하나 캐릭터 2등급 8레벨 = 경험치 4800 필요
12090101,12080101,7105,6200,7101,900,하나 캐릭터 2등급 9레벨 = 경험치 6200 필요
12100101,12090101,7105,6500,7101,1000,하나 캐릭터 2등급 10레벨 = 경험치 6500 필요
13020101,13010101,7105,500,7101,200,하나 캐릭터 3등급 2레벨 = 경험치 500 필요
13030101,13020101,7105,800,7101,300,하나 캐릭터 3등급 3레벨 = 경험치 800 필요
13040101,13030101,7105,1200,7101,400,하나 캐릭터 3등급 4레벨 = 경험치 1200 필요
13050101,13040101,7105,1800,7101,500,하나 캐릭터 3등급 5레벨 = 경험치 1800 필요
13060101,13050101,7105,2600,7101,600,하나 캐릭터 3등급 6레벨 = 경험치 2600 필요
13070101,13060101,7105,3600,7101,700,하나 캐릭터 3등급 7레벨 = 경험치 3600 필요
13080101,13070101,7105,4800,7101,800,하나 캐릭터 3등급 8레벨 = 경험치 4800 필요
13090101,13080101,7105,6200,7101,900,하나 캐릭터 3등급 9레벨 = 경험치 6200 필요
13100101,13090101,7105,6500,7101,1000,하나 캐릭터 3등급 10레벨 = 경험치 6500 필요
14020101,14010101,7105,500,7101,200,하나 캐릭터 4등급 2레벨 = 경험치 500 필요
14030101,14020101,7105,800,7101,300,하나 캐릭터 4등급 3레벨 = 경험치 800 필요
14040101,14030101,7105,1200,7101,400,하나 캐릭터 4등급 4레벨 = 경험치 1200 필요
14050101,14040101,7105,1800,7101,500,하나 캐릭터 4등급 5레벨 = 경험치 1800 필요
14060101,14050101,7105,2600,7101,600,하나 캐릭터 4등급 6레벨 = 경험치 2600 필요
14070101,14060101,7105,3600,7101,700,하나 캐릭터 4등급 7레벨 = 경험치 3600 필요
14080101,14070101,7105,4800,7101,800,하나 캐릭터 4등급 8레벨 = 경험치 4800 필요
14090101,14080101,7105,6200,7101,900,하나 캐릭터 4등급 9레벨 = 경험치 6200 필요
14100101,14090101,7105,6500,7101,1000,하나 캐릭터 4등급 10레벨 = 경험치 6500 필요
11020502,11010502,7105,500,7101,200,세라 캐릭터 1등급 2레벨 = 경험치 500 필요
11030502,11020502,7105,800,7101,300,세라 캐릭터 1등급 3레벨 = 경험치 800 필요
11040502,11030502,7105,1200,7101,400,세라 캐릭터 1등급 4레벨 = 경험치 1200 필요
11050502,11040502,7105,1800,7101,500,세라 캐릭터 1등급 5레벨 = 경험치 1800 필요
11060502,11050502,7105,2600,7101,600,세라 캐릭터 1등급 6레벨 = 경험치 2600 필요
11070502,11060502,7105,3600,7101,700,세라 캐릭터 1등급 7레벨 = 경험치 3600 필요
11080502,11070502,7105,4800,7101,800,세라 캐릭터 1등급 8레벨 = 경험치 4800 필요
11090502,11080502,7105,6200,7101,900,세라 캐릭터 1등급 9레벨 = 경험치 6200 필요
11100502,11090502,7105,6500,7101,1000,세라 캐릭터 1등급 10레벨 = 경험치 6500 필요
12020502,12010502,7105,500,7101,200,세라 캐릭터 2등급 2레벨 = 경험치 500 필요
12030502,12020502,7105,800,7101,300,세라 캐릭터 2등급 3레벨 = 경험치 800 필요
12040502,12030502,7105,1200,7101,400,세라 캐릭터 2등급 4레벨 = 경험치 1200 필요
12050502,12040502,7105,1800,7101,500,세라 캐릭터 2등급 5레벨 = 경험치 1800 필요
12060502,12050502,7105,2600,7101,600,세라 캐릭터 2등급 6레벨 = 경험치 2600 필요
12070502,12060502,7105,3600,7101,700,세라 캐릭터 2등급 7레벨 = 경험치 3600 필요
12080502,12070502,7105,4800,7101,800,세라 캐릭터 2등급 8레벨 = 경험치 4800 필요
12090502,12080502,7105,6200,7101,900,세라 캐릭터 2등급 9레벨 = 경험치 6200 필요
12100502,12090502,7105,6500,7101,1000,세라 캐릭터 2등급 10레벨 = 경험치 6500 필요
13020502,13010502,7105,500,7101,200,세라 캐릭터 3등급 2레벨 = 경험치 500 필요
13030502,13020502,7105,800,7101,300,세라 캐릭터 3등급 3레벨 = 경험치 800 필요
13040502,13030502,7105,1200,7101,400,세라 캐릭터 3등급 4레벨 = 경험치 1200 필요
13050502,13040502,7105,1800,7101,500,세라 캐릭터 3등급 5레벨 = 경험치 1800 필요
13060502,13050502,7105,2600,7101,600,세라 캐릭터 3등급 6레벨 = 경험치 2600 필요
13070502,13060502,7105,3600,7101,700,세라 캐릭터 3등급 7레벨 = 경험치 3600 필요
13080502,13070502,7105,4800,7101,800,세라 캐릭터 3등급 8레벨 = 경험치 4800 필요
13090502,13080502,7105,6200,7101,900,세라 캐릭터 3등급 9레벨 = 경험치 6200 필요
13100502,13090502,7105,6500,7101,1000,세라 캐릭터 3등급 10레벨 = 경험치 6500 필요
